Row,state_fips_code,county_fips_code,block_group_fips_code,block_geo_id,county_geo_id,state_name,county_name,state,block_year,county_year,block_adi_percent,county_adi_percent
88,1,10,10030112023,15000US010030112023,05000US01003,Alabama,Baldwin County,AL,2018,2018,26,20
89,1,10,10030112024,15000US010030112024,05000US01003,Alabama,Baldwin County,AL,2018,2018,9,20
90,1,10,10030113001,15000US010030113001,05000US01003,Alabama,Baldwin County,AL,2018,2018,7,20
91,1,10,10030113002,15000US010030113002,05000US01003,Alabama,Baldwin County,AL,2018,2018,45,20
92,1,10,10030113003,15000US010030113003,05000US01003,Alabama,Baldwin County,AL,2018,2018,35,20
93,1,10,10030113004,15000US010030113004,05000US01003,Alabama,Baldwin County,AL,2018,2018,23,20
94,1,10,10030114011,15000US010030114011,05000US01003,Alabama,Baldwin County,AL,2018,2018,39,20
95,1,10,10030114012,15000US010030114012,05000US01003,Alabama,Baldwin County,AL,2018,2018,30,20
96,1,10,10030114013,15000US010030114013,05000US01003,Alabama,Baldwin County,AL,2018,2018,50,20
97,1,10,10030114014,15000US010030114014,05000US01003,Alabama,Baldwin County,AL,2018,2018,52,20
98,1,10,10030114015,15000US010030114015,05000US01003,Alabama,Baldwin County,AL,2018,2018,65,20
99,1,10,10030114031,15000US010030114031,05000US01003,Alabama,Baldwin County,AL,2018,2018,41,20
100,1,10,10030114032,15000US010030114032,05000US01003,Alabama,Baldwin County,AL,2018,2018,31,20
101,1,10,10030114033,15000US010030114033,05000US01003,Alabama,Baldwin County,AL,2018,2018,56,20
102,1,10,10030114051,15000US010030114051,05000US01003,Alabama,Baldwin County,AL,2018,2018,35,20
103,1,10,10030114052,15000US010030114052,05000US01003,Alabama,Baldwin County,AL,2018,2018,13,20
104,1,10,10030114061,15000US010030114061,05000US01003,Alabama,Baldwin County,AL,2018,2018,79,20
105,1,10,10030114062,15000US010030114062,05000US01003,Alabama,Baldwin County,AL,2018,2018,66,20
106,1,10,10030114063,15000US010030114063,05000US01003,Alabama,Baldwin County,AL,2018,2018,59,20
107,1,10,10030114071,15000US010030114071,05000US01003,Alabama,Baldwin County,AL,2018,2018,85,20
108,1,10,10030114072,15000US010030114072,05000US01003,Alabama,Baldwin County,AL,2018,2018,63,20
109,1,10,10030114073,15000US010030114073,05000US01003,Alabama,Baldwin County,AL,2018,2018,32,20
110,1,10,10030114081,15000US010030114081,05000US01003,Alabama,Baldwin County,AL,2018,2018,36,20
111,1,10,10030115011,15000US010030115011,05000US01003,Alabama,Baldwin County,AL,2018,2018,43,20
112,1,10,10030115012,15000US010030115012,05000US01003,Alabama,Baldwin County,AL,2018,2018,42,20
113,1,10,10030115013,15000US010030115013,05000US01003,Alabama,Baldwin County,AL,2018,2018,59,20
114,1,10,10030115021,15000US010030115021,05000US01003,Alabama,Baldwin County,AL,2018,2018,63,20
115,1,10,10030115022,15000US010030115022,05000US01003,Alabama,Baldwin County,AL,2018,2018,43,20
116,1,10,10030115023,15000US010030115023,05000US01003,Alabama,Baldwin County,AL,2018,2018,90,20
117,1,10,10030115024,15000US010030115024,05000US01003,Alabama,Baldwin County,AL,2018,2018,25,20
118,1,10,10030116011,15000US010030116011,05000US01003,Alabama,Baldwin County,AL,2018,2018,43,20
119,1,10,10030116012,15000US010030116012,05000US01003,Alabama,Baldwin County,AL,2018,2018,78,20
120,1,10,10030116013,15000US010030116013,05000US01003,Alabama,Baldwin County,AL,2018,2018,60,20
121,1,10,10030116014,15000US010030116014,05000US01003,Alabama,Baldwin County,AL,2018,2018,44,20
122,1,10,10030116021,15000US010030116021,05000US01003,Alabama,Baldwin County,AL,2018,2018,31,20
123,1,10,10030116022,15000US010030116022,05000US01003,Alabama,Baldwin County,AL,2018,2018,41,20
124,1,10,10030116023,15000US010030116023,05000US01003,Alabama,Baldwin County,AL,2018,2018,51,20
125,1,10,10030116024,15000US010030116024,05000US01003,Alabama,Baldwin County,AL,2018,2018,40,20
126,1,10,10039900000,15000US010039900000,05000US01003,Alabama,Baldwin County,AL,2018,2018,68,20
127,1,10,10059501001,15000US010059501001,05000US01005,Alabama,Barbour County,AL,2018,2018,85,94
128,1,10,10059501002,15000US010059501002,05000US01005,Alabama,Barbour County,AL,2018,2018,77,94
129,1,10,10059501003,15000US010059501003,05000US01005,Alabama,Barbour County,AL,2018,2018,73,94
130,1,10,10059502001,15000US010059502001,05000US01005,Alabama,Barbour County,AL,2018,2018,93,94
